national_no,pokemon,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,total
0039,Jigglypuff,Normal,NA,115,45,20,45,25,20,270
0040,Wigglytuff,Normal,NA,140,70,45,75,50,45,425
0041,Zubat,Poison,Flying,40,45,35,30,40,55,245
0042,Golbat,Poison,Flying,75,80,70,65,75,90,455
0043,Oddish,Grass,Poison,45,50,55,75,65,30,320
0044,Gloom,Grass,Poison,60,65,70,85,75,40,395
0045,Vileplume,Grass,Poison,75,80,85,100,90,50,480
0046,Paras,Bug,Grass,35,70,55,45,55,25,285
0047,Parasect,Bug,Grass,60,95,80,60,80,30,405
0048,Venonat,Bug,Poison,60,55,50,40,55,45,305
0049,Venomoth,Bug,Poison,70,65,60,90,75,90,450
0050,Diglett,Ground,NA,10,55,25,35,45,95,265
0051,Dugtrio,Ground,NA,35,80,50,50,70,120,405
0052,Meowth,Normal,NA,40,45,35,40,40,90,290
0053,Persian,Normal,NA,65,70,60,65,65,115,440
0054,Psyduck,Water,NA,50,52,48,65,50,55,320
0055,Golduck,Water,NA,80,82,78,95,80,85,500
0056,Mankey,Fighting,NA,40,80,35,35,45,70,305
0057,Primeape,Fighting,NA,65,105,60,60,70,95,455
0058,Growlithe,Fire,NA,55,70,45,70,50,60,350
0059,Arcanine,Fire,NA,90,110,80,100,80,95,555
0060,Poliwag,Water,NA,40,50,40,40,40,90,300
0061,Poliwhirl,Water,NA,65,65,65,50,50,90,385
0062,Poliwrath,Water,Fighting,90,85,95,70,90,70,500
0063,Abra,Psychic,NA,25,20,15,105,55,90,310
0064,Kadabra,Psychic,NA,40,35,30,120,70,105,400
0065,Alakazam,Psychic,NA,55,50,45,135,85,120,490
0066,Machop,Fighting,NA,70,80,50,35,35,35,305
0067,Machoke,Fighting,NA,80,100,70,50,60,45,405
0068,Machamp,Fighting,NA,90,130,80,65,85,55,505
0069,Bellsprout,Grass,Poison,50,75,35,70,30,40,300
0070,Weepinbell,Grass,Poison,65,90,50,85,45,55,390
0071,Victreebel,Grass,Poison,80,105,65,100,60,70,480
0072,Tentacool,Water,Poison,40,40,35,50,100,70,335
0073,Tentacruel,Water,Poison,80,70,65,80,120,100,515
0074,Geodude,Rock,Ground,40,80,100,30,30,20,300
0075,Graveler,Rock,Ground,55,95,115,45,45,35,390
0076,Golem,Rock,Ground,80,110,130,55,65,45,485
0077,Ponyta,Fire,NA,50,85,55,65,65,90,410
0078,Rapidash,Fire,NA,65,100,70,80,80,105,500
0079,Slowpoke,Water,Psychic,90,65,65,40,40,15,315
0080,Slowbro,Water,Psychic,95,75,110,100,80,30,490
0081,Magnemite,Electric,Steel,25,35,70,95,55,45,325
0082,Magneton,Electric,Steel,50,60,95,120,70,70,465
0083,Farfetch'd,Normal,Flying,52,65,55,58,62,60,352
0084,Doduo,Normal,Flying,35,85,45,35,35,75,310
0085,Dodrio,Normal,Flying,60,110,70,60,60,100,460
0086,Seel,Water,NA,65,45,55,45,70,45,325
0087,Dewgong,Water,Ice,90,70,80,70,95,70,475
0088,Grimer,Poison,NA,80,80,50,40,50,25,325
0089,Muk,Poison,NA,105,105,75,65,100,50,500
0090,Shellder,Water,NA,30,65,100,45,25,40,305
0091,Cloyster,Water,Ice,50,90,180,85,45,70,520
0092,Gastly,Ghost,Poison,30,35,30,100,35,80,310
0093,Haunter,Ghost,Poison,45,50,45,115,55,95,405
0094,Gengar,Ghost,Poison,60,65,60,130,75,110,500
0095,Onix,Rock,Ground,35,45,160,30,45,70,385
0096,Drowzee,Psychic,NA,60,48,45,43,90,42,328
0097,Hypno,Psychic,NA,85,73,70,73,115,67,483
0098,Krabby,Water,NA,30,105,90,25,25,50,325
0099,Kingler,Water,NA,55,130,115,50,50,75,475
0100,Voltorb,Electric,NA,40,30,50,55,55,100,330
0101,Electrode,Electric,NA,60,50,70,80,80,140,480
0102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325
0103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,520
0104,Cubone,Ground,NA,50,50,95,40,50,35,320
0105,Marowak,Ground,NA,60,80,110,50,80,45,425
0106,Hitmonlee,Fighting,NA,50,120,53,35,110,87,455
0107,Hitmonchan,Fighting,NA,50,105,79,35,110,76,455
0108,Lickitung,Normal,NA,90,55,75,60,75,30,385
0109,Koffing,Poison,NA,40,65,95,60,45,35,340
0110,Weezing,Poison,NA,65,90,120,85,70,60,490
0111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345
0112,Rhydon,Ground,Rock,105,130,120,45,45,40,485
0113,Chansey,Normal,NA,250,5,5,35,105,50,450
0114,Tangela,Grass,NA,65,55,115,100,40,60,435
0115,Kangaskhan,Normal,NA,105,95,80,40,80,90,490
0116,Horsea,Water,NA,30,40,70,70,25,60,295
0117,Seadra,Water,NA,55,65,95,95,45,85,440
0118,Goldeen,Water,NA,45,67,60,35,50,63,320
0119,Seaking,Water,NA,80,92,65,65,80,68,450
0120,Staryu,Water,NA,30,45,55,70,55,85,340
0121,Starmie,Water,Psychic,60,75,85,100,85,115,520
0122,Mr. Mime,Psychic,NA,40,45,65,100,120,90,460
0123,Scyther,Bug,Flying,70,110,80,55,80,105,500
0124,Jynx,Ice,Psychic,65,50,35,115,95,95,455
0125,Electabuzz,Electric,NA,65,83,57,95,85,105,490
0126,Magmar,Fire,NA,65,95,57,100,85,93,495
0127,Pinsir,Bug,NA,65,125,100,55,70,85,500
0128,Tauros,Normal,NA,75,100,95,40,70,110,490
0129,Magikarp,Water,NA,20,10,55,15,20,80,200
0130,Gyarados,Water,Flying,95,125,79,60,100,81,540
0131,Lapras,Water,Ice,130,85,80,85,95,60,535
0132,Ditto,Normal,NA,48,48,48,48,48,48,288
0133,Eevee,Normal,NA,55,55,50,45,65,55,325
0134,Vaporeon,Water,NA,130,65,60,110,95,65,525
0135,Jolteon,Electric,NA,65,65,60,110,95,130,525
0136,Flareon,Fire,NA,65,130,60,95,110,65,525
0137,Porygon,Normal,NA,65,60,70,85,75,40,395
0138,Omanyte,Rock,Water,35,40,100,90,55,35,355
0139,Omastar,Rock,Water,70,60,125,115,70,55,495
0140,Kabuto,Rock,Water,30,80,90,55,45,55,355
0141,Kabutops,Rock,Water,60,115,105,65,70,80,495
0142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515
0143,Snorlax,Normal,NA,160,110,65,65,110,30,540
0144,Articuno,Ice,Flying,90,85,100,95,125,85,580
0145,Zapdos,Electric,Flying,90,90,85,125,90,100,580
0146,Moltres,Fire,Flying,90,100,90,125,85,90,580
0147,Dratini,Dragon,NA,41,64,45,50,50,50,300
0148,Dragonair,Dragon,NA,61,84,65,70,70,70,420
0149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600
0150,Mewtwo,Psychic,NA,106,110,90,154,90,130,680
0151,Mew,Psychic,NA,100,100,100,100,100,100,600
